titulo,fecha,thumbnail,licencia,urlmanifest
Pintura de Ameca,1579-10-02,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_38127378-7a33-412f-a425-cc511ff1d351/TN/utblac_38127378-7a33-412f-a425-cc511ff1d351.jpg,https://creativecommons.org/publicdomain/mark/1.0/,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_38127378-7a33-412f-a425-cc511ff1d351/manifests/2/utblac_38127378-7a33-412f-a425-cc511ff1d351.json
Pintura de Cuzcatlan,1580-10-26,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_e38f8f71-f967-46fb-9493-1edec8cbc1b3/TN/utblac_e38f8f71-f967-46fb-9493-1edec8cbc1b3.jpg,https://creativecommons.org/publicdomain/mark/1.0/,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_e38f8f71-f967-46fb-9493-1edec8cbc1b3/manifests/2/utblac_e38f8f71-f967-46fb-9493-1edec8cbc1b3.json
Pintura de Cholula,1580-11-30,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_90dca2a6-6851-4d2b-b6c9-9fc2b75104b7/TN/utblac_90dca2a6-6851-4d2b-b6c9-9fc2b75104b7.jpg,https://creativecommons.org/publicdomain/mark/1.0/,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_90dca2a6-6851-4d2b-b6c9-9fc2b75104b7/manifests/2/utblac_90dca2a6-6851-4d2b-b6c9-9fc2b75104b7.json
Pintura de Zapotitlan,1579-11-22,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_32713c87-b23c-474c-acb9-0757bc1d2dd3/TN/utblac_32713c87-b23c-474c-acb9-0757bc1d2dd3.jpg,https://creativecommons.org/publicdomain/mark/1.0/,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_32713c87-b23c-474c-acb9-0757bc1d2dd3/manifests/2/utblac_32713c87-b23c-474c-acb9-0757bc1d2dd3.json
Pintura de Acapistla,1580-10-10,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_9202cf3b-3a38-4498-89bc-67d0b03e9509/TN/utblac_9202cf3b-3a38-4498-89bc-67d0b03e9509.jpg,https://creativecommons.org/publicdomain/mark/1.0/,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_9202cf3b-3a38-4498-89bc-67d0b03e9509/manifests/2/utblac_9202cf3b-3a38-4498-89bc-67d0b03e9509.json
Pintura de Atengo y Misquiahuala,1579-10-08,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_d6360c5d-e505-49af-84a3-b2538f7be43b/TN/utblac_d6360c5d-e505-49af-84a3-b2538f7be43b.jpg,https://creativecommons.org/publicdomain/mark/1.0/,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_d6360c5d-e505-49af-84a3-b2538f7be43b/manifests/2/utblac_d6360c5d-e505-49af-84a3-b2538f7be43b.json
Pintura de Cempoala,1580-11-01,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_b35a74c8-358b-4192-8c61-9668332985dd/TN/utblac_b35a74c8-358b-4192-8c61-9668332985dd.jpg,https://creativecommons.org/publicdomain/mark/1.0/,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_b35a74c8-358b-4192-8c61-9668332985dd/manifests/2/utblac_b35a74c8-358b-4192-8c61-9668332985dd.json
Pintura de Atlatlauhca,1580-09-17,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_4283412f-28f4-4452-a1fd-0faef9ed2fcb/TN/utblac_4283412f-28f4-4452-a1fd-0faef9ed2fcb.jpg,https://creativecommons.org/publicdomain/mark/1.0/,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_4283412f-28f4-4452-a1fd-0faef9ed2fcb/manifests/2/utblac_4283412f-28f4-4452-a1fd-0faef9ed2fcb.json
Pintura de Coatzacualco,1580-04-29,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_9a78720b-d927-4635-bdc0-9993a3024f9a/TN/utblac_9a78720b-d927-4635-bdc0-9993a3024f9a.jpg,https://creativecommons.org/publicdomain/mark/1.0/,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_9a78720b-d927-4635-bdc0-9993a3024f9a/manifests/2/utblac_9a78720b-d927-4635-bdc0-9993a3024f9a.json
Pintura de Culhuacan,1580-01-17,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_d5ddf214-248e-462f-acdc-81d27463226f/TN/utblac_d5ddf214-248e-462f-acdc-81d27463226f.jpg,https://creativecommons.org/publicdomain/mark/1.0/,https://curio.lib.utexas.edu/assets/DAMS/utblac/utblac_d5ddf214-248e-462f-acdc-81d27463226f/manifests/2/utblac_d5ddf214-248e-462f-acdc-81d27463226f.json
